quote,movie,type,year
Oh Fred. Thats so sweet.,Flintstones in Viva Rock Vegas,movie,2000
If you utter so much as one syllable ILL HUNT YOU DOWN AND GUT YOU LIKE A FISH! If youd like to fax me press the star key.,The Grinch,movie,2000
My name is Maximus Decimus Meridius commander of the Armies of the North General of the Felix Legions and loyal servant to the true emperor Marcus Aurelius. Father to a murdered son husband to a murdered wife. And I will have my vengeance in this life or the next.,Gladiator,movie,2000
No thinking  that comes later. You must write your first draft with your heart. You rewrite with your head. The first key to writing is... to write not to think!,Finding Forrester,movie,2000
We could not talk or talk forever and still find things to not talk about.,Best in Show,movie,2000
Snnnnnooooooooooow!!!!!!!!!,Snow Day,movie,2000
I have nipples Greg. Could you milk me?,Meet the Parents,movie,2000
Ive gotta get out of this place. Someday Im getting on that train.,Spirited Away,movie,2001
Yeah. We graduated high school. How totally amazing.,Ghost World,movie,2001
One can never have enough socks.,Harry Potter and the Philosophers Stone,movie,2001
Just what do you think youre doing Dave?,A Space Odyssey,movie,2001
Youre a wizard Harry.,Harry Potter and the Sorcerers Stone,movie,2001
What you NEED to do is get me my chips!!! With dip!!! Cuz youre delinquent motherfucker!,The Wash,movie,2001
You shall not pass!,The Lord of the Rings: The Fellowship of the Ring,movie,2001
Ask any racer. Any real racer. It dont matter if you win by an inch or a mile. Winnings winning.,The Fast and The Furious,movie,2001
Even the smallest person can change the course of the future.,The Lord of the Rings: The Fellowship of the Ring,movie,2001
So be prepared be enthusiastic and leave your bullshit attitude and baggage at the door because we dont need it!,Wet Hot American Summer,movie,2001
I live my life a quarter mile at a time.,The Fast and the Furious,movie,2001
They say that dreams are only real as long as they last. Couldnt you say the same thing about life?,Waking Life,movie,2001
All we have to decide what to do with the time that is given to us.,Lord Of The Ring  The Fellowships Of The Ring,movie,2001
Exercise gives you endorphins. Endorphins make you happy. Happy people just dont shoot their husbands. They just dont.,Legally Blonde,movie,2001
What is this? A center for ants?,Zoolander,movie,2001
All we have to decide is what to do with the time that is given us.,The Lord of the Rings: The Fellowship of the Ring,movie,2001
Of the days that I have lived only those I spent with you seemed real.,Cowboy Bebop: The Movie,movie,2001
Ogres are like onions.,Shrek,movie,2001
Once you meet someone you never really forget them. It just takes a while for your memory to come back to you,Spirited Away,movie,2001
I dont know half of you half as well as I should like; and I like less than half of you half as well as you deserve.,The Lord of the Rings: The Fellowship of the Ring,movie,2001
The greatest thing youll ever learn is just to love and be loved in return.,Moulin Rouge,movie,2001
Its only in the mysterious equation of love that any logical reasons can be found.,A Beautiful Mind,movie,2001
One Ring to rule them all One Ring to find them One Ring to bring them all and in the darkness bind them.,The Lord of The Rings: The Fellowship of the Ring,movie,2001
Even the smallest person can change the course of history.,The Lord of the Rings: The Fellowship of the Ring,movie,2001
Its a dangerous business going out your door…You step into the Road and if you dont keep your feet there is no knowing where you might be swept off to.,The Lord of the Rings: The Fellowship of the Ring,movie,2001
No I like you very much just as you are.,Bridget Jones Diary,movie,2001
Welcome the rich man hes hard for you to miss. His butt keeps getting bigger so theres plenty there to kiss!,Spirited Away,movie,2001
Do you like dags?,The Snatch,movie,2001
Im tired of people who judge me without knowing my history.,8 miles,movie,2002
I dont like sand. Its all coarse and rough and irritating. And it gets everywhere.,The Lord of the Rings: The Two Towers,movie,2002
Your time will come. You will face the same Evil and you will defeat it.,The Lord of the Rings: The Fellowship of the Ring,movie,2002
The battle of Helms Deep is over; the battle for Middle Earth is about to begin. ,The Lord of the Rings: The Two Towers,movie,2002
It is not our abilities that show what we truly are… it is our choices.,Harry Potter and the Chamber of Secrets,movie,2002
With great power comes great responsibility.,Spider Man,movie,2002
There is always hope.,The Lord of the Rings: The Two Towers,movie,2002
You know Im something of a scientist myself.,Spiderman,movie,2002
My precious,The Lord of the Rings: The Two Towers,movie,2002
Lil dice my ass my name is now Lil Zé now,City of God,movie,2002
But in the end its only a passing thing this shadow even darkness must pass.,The Lord of the Rings: The Two Towers,movie,2002
Dark have been my dreams of late.,The Lord of the Rings: The Two Towers,movie,2002
It takes a great deal of bravery to stand up to our enemies but just as much to stand up to our friends.,Harry Potter and the Chamber of Secrets,movie,2002
Even the smallest person can change the course of the future.,The Lord of the Rings: The Fellowship of the Ring,movie,2002
